"X","Date","Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","ParasiticIn","Influenza","WnvPresentB","Tmax2","Tmin2","Tavg2","WetBulb2","Heat2","PrecipTotal2","StnPressure2","ResultDir2","AvgSpeed2","DZ2","FG2","HZ2","RA2","RA45_2","BR2","TS2","TSRA2","VCTS2","Tmax","Tmin","Tavg","Depart","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","RA45","TS","TSRA","VCTS","pre45_1_2","pre45_1","pre45_05","TrapClusterNum_8","TrapClusterNum_5","TrapClusterNum_2","TrapClusterNum_1","TrapClusterNum_6","TrapClusterNum_3","TrapClusterNum_7","TrapClusterNum_4","TrapClusterNum_9","TrapClusterNum_10","Month_9","Month_6","Month_8","Month_7","Month_5","Month_10"
1214,"2007-09-19",-87.726549,41.82561,0,0,1,0,0,4,0,0,0,0,0.29,0.67,0,84,68,41,34,1,0,29.47,25,9,0,0,0,0,11,0,0,0,0,84,65,40,30,59,1,11,536,1755,0,5,26,9.7,0,0,0,0,0,17,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2381,"2009-09-25",-87.752411,41.778297,0,0,1,0,0,4,0,0,0,0,0.26,0.6,0,70,60,30,29,1,0.02,29.44,11,6.3,1,0,0,1,10,1,0,0,0,70,60,30,22,57,1,1,542,1744,0.16,5.4,11,7.3,1,1,0,0,1,11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1745,"2009-06-26",-87.599862,41.673408,0,1,0,0,1,1,4,0,0,0,0.28,0.85,0,86,72,44,36,1,0,29.2,4,8,0,0,0,0,15,0,0,0,0,86,69,43,25,60,1,14,418,1931,0,6.4,4,8.2,0,0,0,0,0,15,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,"2007-06-05",-87.812827,41.981964,0,1,0,0,0,0,2,0,0,0,0.26,0.8,0,63,51,22,21,29,0.27,29.16,3,8.1,0,0,0,1,19.6483478067053,1,0,0,0,64,47,21,17,48,30,1,417,1923,0.42,5.2,5,7.6,1,0,0,0,1,16.3162312117209,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2275,"2009-09-14",-87.694991,41.857402,0,0,1,0,0,1,0,0,0,0,0.26,0.6,0,84,59,37,31,1,0,29.4,13,2.7,0,0,0,0,10,0,0,0,0,84,58,36,25,55,1,7,530,1805,0,0.1,33,2.1,0,0,0,0,0,12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
468,"2007-08-01",-87.666343,41.822536,0,1,0,0,12,65,5,0,0,0,0.29,0.67,0,91,69,45,39,1,0,29.34,13,3.7,0,0,0,0,13,0,0,0,0,92,69,46,26,62,1,17,445,1911,0,3.5,9,4.1,0,0,0,1,0,12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3577,"2013-06-21",-87.785288,41.923738,0,1,0,0,0,8,2,0,0,0,0.24,0.72,0,85,70,43,36,1,0.11,29.39,19,9.6,0,0,0,0,18,0,0,1,0,82,68,40,23,65,1,11,416,1930,0.79,7.4,19,9.5,1,0,0,0,1,19,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2984,"2011-08-12",-87.930995,41.957799,0,1,0,0,7,58,0,0,0,0,0.25,0.57,1,82,65,39,33,1,0,29.28,19,8.4,0,0,0,0,9,0,0,0,0,81,60,36,10,59,1,7,456,1858,0,8.3,19,8.5,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
249,"2007-07-11",-87.629798,41.878114,0,1,0,0,0,3,1,0,0,0,0.29,0.67,0,77,63,35,28,1,0,29.28,30,11.2,0,0,0,0,15,0,0,0,0,77,62,35,11,51,1,6,426,1928,0,8.8,30,10.9,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4125,"2013-08-08",-87.55551,41.733643,0,1,0,0,0,2,1,0,0,0,0.26,0.58,0,79,69,39,31,1,0,29.33,5,10.8,0,0,0,0,15,0,0,0,0,78,65,37,1,56,1,8,452,1903,0,8.6,5,9.3,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
