,Date,Longitude,Latitude,Month,Season_code_1,Season_code_2,Season_code_3,CULEX_ERRATICUS,CULEX_PIPIENS,CULEX_PIPIENS_RESTUANS,CULEX_RESTUANS,CULEX_SALINARIUS,CULEX_TARSALIS,CULEX_TERRITANS,ParasiticIn,Influenza,WnvPresentB,Tmax2,Tmin2,Tavg2,WetBulb2,Heat2,PrecipTotal2,StnPressure2,ResultDir2,AvgSpeed2,DZ2,FG2,HZ2,RA2,RA45_2,BR2,TS2,TSRA2,VCTS2,Tmax,Tmin,Tavg,Depart,DewPoint,Heat,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir,AvgSpeed,BR,DZ,FG,HZ,RA,RA45,TS,TSRA,VCTS,pre45_1_2,pre45_1,pre45_05,TrapClusterNum,dataset
1545,2009-06-02,-87.546587,41.740641,6,0,1,0,0,0,3,5,0,0,0,0.28,0.85,0,61,50,21,20,30,0.06,29.42,3,9.2,0,0,0,1,11.048196270827,1,0,0,0,60,48,19,2,46,4,1,419,1920,0.12,7.4,3,8.0,1,0,0,0,1,12.088315207948598,0,0,0,1,1,1,7,train
3014,2011-08-12,-87.67145699999999,41.947227000000005,8,0,1,0,0,0,1,0,0,0,0,0.25,0.57,0,82,65,39,33,1,0.0,29.28,19,8.4,0,0,0,0,9.0,0,0,0,0,81,60,36,10,59,1,7,456,1858,0.0,8.3,19,8.5,0,0,0,0,0,10.0,0,0,0,0,1,1,9,train
3566,2013-06-14,-87.546587,41.740641,6,0,1,0,0,0,2,14,0,0,0,0.24,0.72,0,76,57,32,26,1,0.0,29.4,5,7.8,0,0,0,0,17.0,0,0,0,0,78,56,32,1,51,1,3,416,1928,0.0,6.6,6,7.9,0,0,0,0,0,20.0,0,0,0,1,1,1,7,train
2198,2009-08-27,-87.716277,41.846075,8,0,1,0,0,0,1,0,0,0,0,0.26,0.6,0,67,62,30,32,1,1.19,29.41,8,11.0,0,0,0,1,13.0,1,0,0,0,67,61,29,14,60,2,1,512,1835,0.95,9.1,7,9.7,1,0,0,0,1,14.0,0,0,0,1,0,1,1,train
3351,2011-09-16,-87.559308,41.678618,9,0,0,1,0,0,1,6,0,0,0,0.25,0.57,0,59,48,19,16,4,0.0,29.65,13,3.7,0,0,0,0,13.0,0,0,0,0,58,46,17,4,40,6,1,532,1760,0.0,1.4,8,3.3,0,0,0,0,0,13.0,0,0,0,0,1,1,5,train
1612,2009-06-12,-87.703047,41.77166,6,0,1,0,0,0,2,2,0,0,0,0.28,0.85,0,72,50,26,24,25,0.0,29.3,6,6.7,0,0,0,0,11.1275750174246,0,0,0,0,74,49,27,14,49,24,1,416,1927,0.0,4.4,7,5.8,0,0,0,0,1,15.2951659155589,0,0,0,1,1,1,8,train
4206,2013-08-22,-87.800515,41.916265,8,0,1,0,0,10,8,3,0,0,0,0.26,0.58,0,78,67,38,37,1,0.36,29.42,24,7.0,0,0,0,1,11.0,0,0,0,0,78,68,38,20,67,1,9,506,1843,0.23,1.5,23,7.0,0,0,0,0,1,12.0,0,0,0,0,0,1,6,train
3035,2011-08-12,-87.586427,41.778748,8,0,1,0,0,0,2,0,0,0,0,0.25,0.57,0,82,65,39,33,1,0.0,29.28,19,8.4,0,0,0,0,9.0,0,0,0,0,81,60,36,10,59,1,7,456,1858,0.0,8.3,19,8.5,0,0,0,0,0,10.0,0,0,0,0,1,1,7,train
2256,2009-09-14,-87.763416,41.801497999999995,9,0,0,1,0,0,21,1,0,0,0,0.26,0.6,0,84,59,37,31,1,0.0,29.4,13,2.7,0,0,0,0,10.0,0,0,0,0,84,58,36,25,55,1,7,530,1805,0.0,0.1,33,2.1,0,0,0,0,0,12.0,0,0,0,1,0,1,8,train
1450,2007-10-09,-87.585413,41.726465000000005,10,0,0,1,0,23,9,0,0,0,0,0.27,0.77,0,77,50,29,22,2,0.0,29.27,28,13.3,0,0,0,0,7.0,0,0,0,0,76,49,28,26,44,13,1,557,1720,0.0,11.5,28,12.8,0,0,0,0,0,8.0,0,0,0,0,0,0,7,train
