accuracy,auc,err,model
0.8516711032238983,0.9293449720461466,1003,"XGBoost TRAIN max_depth:2, eta:1"
0.8225108225108225,0.893216236345581,82,"XGBoost DEV max_depth:2, eta:1"
0.8394793926247288,0.9326626425217974,74,"XGBoost TEST max_depth:2, eta:1"
0.8995859213250518,0.95243405284905,679,"XGBoost TRAIN max_depth:3, eta:1"
0.829004329004329,0.8684831181727904,79,"XGBoost DEV max_depth:3, eta:1"
0.8351409978308026,0.9070757880617035,76,"XGBoost TEST max_depth:3, eta:1"
0.8635019225081337,0.9332534114426347,923,"XGBoost TRAIN max_depth:3, eta:0.3"
0.7857142857142857,0.900571002979146,99,"XGBoost DEV max_depth:3, eta:0.3"
0.8091106290672451,0.9245137491616365,88,"XGBoost TEST max_depth:3, eta:1"
0.9346347234545992,0.9742870387356105,442,"XGBoost TRAIN max_depth:4, eta:1"
0.841991341991342,0.8570630585898709,73,"XGBoost DEV max_depth:4, eta:1"
0.8459869848156182,0.9093896713615024,71,"XGBoost TEST max_depth:4, eta:1"
0.981810115350488,0.9980091698472273,123,"XGBoost TRAIN max_depth:6, eta:1"
0.8961038961038961,0.8523771102284012,48,"XGBoost DEV max_depth:6, eta:1"
0.8785249457700651,0.8812877263581489,56,"XGBoost TEST max_depth:6, eta:1"
0.9205856255545697,0.9720667043356315,537,"XGBoost TRAIN max_depth:6, eta:0.2"
0.8051948051948052,0.8767068023833168,90,"XGBoost DEV max_depth:6, eta:0.2"
0.824295010845987,0.9108316566063045,81,"XGBoost TEST max_depth:6, eta:0.2"
0.9994084590357882,1.0,4,"XGBoost TRAIN max_depth:10, eta:1"
0.9069264069264069,0.849304865938431,43,"XGBoost DEV max_depth:10, eta:1"
0.8850325379609545,0.9036887994634474,53,"XGBoost TEST max_depth:10, eta:1"
0.9982253771073647,1.0,12,"XGBoost TRAIN max_depth:8, eta:1"
0.9025974025974026,0.81740317775571,45,"XGBoost DEV max_depth:8, eta:1"
0.8850325379609545,0.8907444668008049,53,"XGBoost TEST max_depth:8, eta:1"
0.9988169180715765,1.0,8,"XGBoost TRAIN max_depth:9, eta:1"
0.8961038961038961,0.8545183714001985,48,"XGBoost DEV max_depth:9, eta:1"
0.8937093275488069,0.876391683433937,49,"XGBoost TEST max_depth:9, eta:1"
1.0,1.0,0,"XGBoost TRAIN max_depth:20, eta:1"
0.9177489177489178,0.8752482621648461,38,"XGBoost DEV max_depth:20, eta:1"
0.9045553145336226,0.9134808853118712,44,"XGBoost TEST max_depth:20, eta:1"
