"X","Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
3486,-87.66214,42.010412,0,1,0,0,0,1,1,0,0,0,417,1924,54,25,14,26,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24,0.72,68,26,25,68,52,1,29.26,21,0,0,0,0,0,0,0,0,9.2,9.9,9.5,13.4272499331465,14.0534669233637,1,1,0
3142,-87.678649,41.768388,0,1,0,0,0,1,0,0,0,0,511,1837,61,36,19,1,58,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
1269,-87.794896,41.94016,0,0,1,0,1,11,0,0,0,1,541,1746,71,44,36,1,63,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
4138,-87.777189,41.960616,0,1,0,0,0,3,4,0,0,0,459,1854,57,30,15,1,53,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.26,0.58,74,31,1,75,55,1,29.47,27,0,0,0,0,0,0,0,0,5,4.9,4.2,11,12,0,0,0
3712,-87.777189,41.960616,0,1,0,0,0,2,0,0,0,0,424,1929,71,43,23,1,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
2614,-87.756155,41.904194,0,1,0,0,0,0,1,0,0,0,419,1931,66,39,20,1,62,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.23,0.76,89,43,1,88,60,10,29.34,36,0,0,0,0,1,1,0,0,10.6,9.4,8.2,18,17,1,1,0
3347,-87.590773,41.754292,0,0,1,0,0,9,0,0,0,0,532,1760,48,17,4,6,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
3750,-87.654234,41.793818,0,1,0,0,0,4,13,0,0,0,424,1929,71,43,23,1,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
2040,-87.930995,41.957799,0,1,0,0,7,87,39,0,0,0,451,1904,67,34,12,1,59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.26,0.6,74,36,1,74,64,5,29.41,32,0,1,0,0,0,0,0,1,7.2,7.8,7.3,14,11,1,0,0.33
667,-87.740029,41.772846,0,1,0,0,7,6,0,0,0,0,459,1854,72,41,22,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
4358,-87.756155,41.904194,0,0,1,0,6,0,0,0,0,0,522,1819,62,37,23,1,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.26,0.58,85,39,1,86,57,8,29.44,32,0,0,0,0,0,0,0,0,6,6,4.7,11,11,0,0,0
1784,-87.688267,41.903002,0,1,0,0,0,24,5,0,0,0,423,1930,63,38,19,1,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,85,39,1,86,60,9,29.2,32,0,0,0,0,0,0,0,0,5.5,7.8,7.5,17,16,1,1,0
824,-87.654224,41.867108,0,1,0,0,4,9,0,0,0,0,505,1845,69,43,25,1,70,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
772,-87.763416,41.801498,0,1,0,0,4,1,0,0,0,0,505,1845,69,43,25,1,70,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
1633,-87.612922,41.754676,0,1,0,0,0,2,0,0,0,0,416,1927,50,27,14,24,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,72,26,25,74,49,1,29.3,24,0,0,0,0,0,0,0,1,6.7,5.8,4.4,15.2951659155589,11.1275750174246,1,1,0
4034,-87.654491,41.891118,0,1,0,0,0,13,3,0,0,0,445,1911,61,36,10,1,57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,82,37,1,81,61,7,29.29,31,0,0,0,0,0,0,0,0,7.1,7.8,7.6,11,14,0,1,0
4205,-87.800991,41.95469,0,1,0,0,12,34,0,0,0,0,506,1843,67,38,20,1,67,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
4041,-87.629798,41.878114,0,1,0,0,0,1,1,0,0,0,445,1911,61,36,10,1,57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,82,37,1,81,61,7,29.29,31,0,0,0,0,0,0,0,0,7.1,7.8,7.6,11,14,0,1,0
