"Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
-87.546587,41.740641,0,1,0,0,0,3,5,0,0,0,419,1920,50,19,2,4,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,61,21,30,60,48,1,29.42,20,0,1,0,0,0,0,0,1,9.2,8,7.4,12.0883152079486,11.048196270827,1,1,0.12
-87.671457,41.947227,0,1,0,0,0,1,0,0,0,0,456,1858,65,36,10,1,59,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
-87.546587,41.740641,0,1,0,0,0,2,14,0,0,0,416,1928,57,32,1,1,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24,0.72,76,32,1,78,56,3,29.4,26,0,0,0,0,0,0,0,0,7.8,7.9,6.6,20,17,1,1,0
-87.716277,41.846075,0,1,0,0,0,1,0,0,0,0,512,1835,62,29,14,2,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.6,67,30,1,67,61,1,29.41,32,0,1,0,0,0,0,0,1,11,9.7,9.1,14,13,1,0,0.95
-87.559308,41.678618,0,0,1,0,0,1,6,0,0,0,532,1760,48,17,4,6,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
-87.703047,41.77166,0,1,0,0,0,2,2,0,0,0,416,1927,50,27,14,24,49,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,72,26,25,74,49,1,29.3,24,0,0,0,0,0,0,0,1,6.7,5.8,4.4,15.2951659155589,11.1275750174246,1,1,0
-87.800515,41.916265,0,1,0,0,10,8,3,0,0,0,506,1843,67,38,20,1,67,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
-87.586427,41.778748,0,1,0,0,0,2,0,0,0,0,456,1858,65,36,10,1,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
-87.763416,41.801498,0,0,1,0,0,21,1,0,0,0,530,1805,59,36,25,1,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
-87.585413,41.726465,0,0,1,0,23,9,0,0,0,0,557,1720,50,28,26,13,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.27,0.77,77,29,2,76,49,1,29.27,22,0,0,0,0,0,0,0,0,13.3,12.8,11.5,8,7,0,0,0
-87.770899,41.994679,0,1,0,0,11,32,0,0,0,0,452,1903,69,37,1,1,56,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
-87.627561,41.869216,0,1,0,0,3,15,1,0,0,0,445,1911,69,46,26,1,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
-87.629798,41.878114,0,1,0,0,2,10,0,0,0,0,509,1840,69,40,22,1,67,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
-87.604498,41.644612,0,1,0,0,6,21,0,0,0,0,446,1910,73,46,26,1,66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,47,1,91,70,17,29.31,41,0,0,0,0,0,0,1,0,7.2,5.9,5.5,11,12,0,1,0
-87.763416,41.801498,0,1,0,0,1,3,10,0,0,0,417,1923,47,27,11,24,44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,80,29,2,79,44,1,29.23,23,0,0,0,0,0,0,0,0,7.2,6.7,5.8,13.1155290375629,12.0216409366304,1,1,0
-87.776532,41.781416,0,0,1,0,2,0,0,0,0,0,528,1809,46,22,16,29,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,66,21,30,67,46,1,29.46,19,0,0,0,0,0,0,0,0,6,5.6,1.8,19,13,1,1,0
-87.654491,41.891118,0,0,1,0,1,1,1,0,0,0,528,1809,64,40,28,1,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,86,40,1,86,64,11,29.24,34,0,0,0,0,0,0,0,0,9.3,10.9,10.5,12,12,0,1,0
-87.746381,41.925198,0,1,0,0,0,2,2,0,0,0,416,1929,64,36,20,1,60,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.23,0.76,82,38,1,82,60,7,29.18,34,0,0,0,0,0,0,0,0,6.2,6.6,5.8,19,15,1,1,0
-87.55551,41.733643,0,1,0,0,0,1,0,0,0,0,442,1915,74,44,23,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
-87.562889,41.766202,0,1,0,0,0,1,0,0,0,0,416,1930,66,41,24,1,67,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,88,42,1,86,65,12,29.03,39,0,1,1,1,1,1,0,0,10.5,11.6,7.2,17,17,1,1,3.97
-87.757639,41.964242,0,1,0,0,20,103,25,0,0,0,442,1915,74,44,23,1,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
-87.627796,41.821582,0,1,0,0,7,8,2,0,0,0,451,1904,73,47,27,1,73,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,92,48,1,91,72,18,29.11,45,0,0,0,0,0,0,0,1,8.8,9,6.2,11,10,0,1,1.31
-87.60088,41.773215,0,1,0,0,0,40,14,0,0,0,419,1931,68,40,22,1,61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24,0.72,83,41,1,83,67,11,28.97,34,0,0,0,0,0,0,0,1,9.8,10.9,10.5,21,20,1,1,0
-87.654224,41.867108,0,0,1,0,3,4,14,0,0,0,528,1809,64,40,28,1,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,86,40,1,86,64,11,29.24,34,0,0,0,0,0,0,0,0,9.3,10.9,10.5,12,12,0,1,0
-87.742302,41.763733,0,1,0,0,0,0,3,0,0,0,438,1918,73,46,25,1,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,90,47,1,88,73,17,29.25,40,0,0,0,0,0,0,0,0,6.1,6.5,3.4,14,12,1,1,0
-87.656913,41.846283,0,1,0,0,0,1,0,0,0,0,420,1931,58,31,14,1,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,33,1,79,53,2,29.55,28,0,0,0,0,0,0,0,0,8.5,8.1,5.9,17,17,0,1,0
-87.679447,41.801179,0,0,1,0,0,1,0,0,0,0,542,1744,60,30,22,1,57,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,70,30,1,70,60,1,29.44,29,0,1,0,0,0,0,0,1,6.3,7.3,5.4,11,10,1,0,0.16
-87.797127,41.990284,0,0,1,0,1,10,0,0,0,0,552,1729,56,32,28,1,56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.27,0.77,83,35,1,82,51,3,29.39,31,0,0,0,0,0,0,1,0,5.9,4.6,3.9,12,9,1,1,0
