"X","Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
1214,-87.726549,41.82561,0,0,1,0,0,4,0,0,0,0,536,1755,68,40,30,1,59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,84,41,1,84,65,11,29.47,34,0,0,0,0,0,0,0,0,9,9.7,5,17,11,1,1,0
2381,-87.752411,41.778297,0,0,1,0,0,4,0,0,0,0,542,1744,60,30,22,1,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,70,30,1,70,60,1,29.44,29,0,1,0,0,0,0,0,1,6.3,7.3,5.4,11,10,1,0,0.16
1745,-87.599862,41.673408,0,1,0,0,1,1,4,0,0,0,418,1931,72,43,25,1,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
20,-87.812827,41.981964,0,1,0,0,0,0,2,0,0,0,417,1923,51,21,17,30,48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.26,0.8,63,22,29,64,47,1,29.16,21,0,1,0,0,0,0,0,1,8.1,7.6,5.2,16.3162312117209,19.6483478067053,1,1,0.42
2275,-87.694991,41.857402,0,0,1,0,0,1,0,0,0,0,530,1805,59,36,25,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
468,-87.666343,41.822536,0,1,0,0,12,65,5,0,0,0,445,1911,69,46,26,1,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
3577,-87.785288,41.923738,0,1,0,0,0,8,2,0,0,0,416,1930,70,40,23,1,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.24,0.72,85,43,1,82,68,11,29.39,36,0,0,0,0,0,1,0,1,9.6,9.5,7.4,19,18,1,1,0.79
2984,-87.930995,41.957799,0,1,0,0,7,58,0,0,0,0,456,1858,65,36,10,1,59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
249,-87.629798,41.878114,0,1,0,0,0,3,1,0,0,0,426,1928,63,35,11,1,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
4125,-87.55551,41.733643,0,1,0,0,0,2,1,0,0,0,452,1903,69,37,1,1,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
897,-87.729384,41.837085,0,1,0,0,1,1,0,0,0,0,509,1840,69,40,22,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
65,-87.79518,41.921177,0,1,0,0,0,0,1,0,0,0,418,1931,73,46,28,1,69,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.26,0.8,91,47,1,92,70,17,29.45,41,0,1,0,1,0,0,1,0,8.1,7.1,6.1,19,18,0,1,0.16
1744,-87.60088,41.773215,0,1,0,0,0,1,0,0,0,0,418,1931,72,43,25,1,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
2915,-87.565666,41.704572,0,1,0,0,0,0,3,0,0,1,442,1915,74,44,23,1,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
2325,-87.724608,41.662014,0,0,1,0,3,3,0,0,0,0,533,1758,54,26,11,25,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.26,0.6,71,28,13,72,50,1,29.51,26,0,0,0,0,0,0,0,0,5.4,4.2,3.4,11,9,1,0,0
3968,-87.642984,41.803423,0,1,0,0,6,22,26,0,0,0,438,1918,58,34,13,1,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,81,35,1,81,57,5,29.39,29,0,0,0,0,0,0,0,0,3.9,5.1,4.1,9,13,0,1,0
