"Date","Year","ID.OB","Month_Yr","TrapM","Address","Street","Block","Longitude","Latitude","Month","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","ParasiticIn.","Influenza.","WnvPresentB","Tmax2","Tmin2","Tavg2","WetBulb2","Heat2","PrecipTotal2","StnPressure2","ResultDir2","AvgSpeed2","DZ2","FG2","HZ2","RA2","RA45.2","BR2","TS2","TSRA2","VCTS2","Tmax","Tmin","Tavg","Depart","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","RA45","TS","TSRA","VCTS","pre45_1_2","pre45_1","pre45_05","pre45_052","TrapClusterNum"
"2007-05-29",2007,16,"2007-05",15,"7900 West Foster Avenue, Chicago, IL 60656, USA"," W FOSTER AVE",79,-87.824812,41.974089,5,1,0,0,0,0,1,4,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,2
"2007-05-29",2007,12,"2007-05",2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA"," N OAK PARK AVE",41,-87.800991,41.95469,5,1,0,0,0,0,1,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,2
"2007-05-29",2007,14,"2007-05",143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA"," N OAK PARK AVE",65,-87.795585,41.999129,5,1,0,0,0,0,1,0,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,2
"2007-05-29",2007,13,"2007-05",7,"6200 North Mandell Avenue, Chicago, IL 60646, USA"," N MANDELL AVE",62,-87.769279,41.994991,5,1,0,0,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,2
"2007-05-29",2007,4,"2007-05",153,"1500 North Long Avenue, Chicago, IL 60651, USA"," N LONG AVE",15,-87.760886,41.907645,5,1,0,0,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,6
"2007-05-29",2007,7,"2007-05",50,"2100 North Stave Street, Chicago, IL 60647, USA"," N STAVE ST",21,-87.694259,41.919343,5,1,0,0,0,0,1,0,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,9
"2007-05-29",2007,15,"2007-05",148,"7500 North Oakley Avenue, Chicago, IL 60645, USA"," N OAKLEY AVE",75,-87.687769,42.01743,5,1,0,0,0,0,1,0,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,9
"2007-05-29",2007,10,"2007-05",96,"2200 West 89th Street, Chicago, IL 60643, USA"," W 89TH ST",22,-87.677512,41.731922,5,1,0,0,0,1,0,5,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,4
"2007-05-29",2007,9,"2007-05",86,"2200 West 113th Street, Chicago, IL 60643, USA"," W 113TH ST",22,-87.676709,41.688324,5,1,0,0,0,0,1,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,4
"2007-05-29",2007,5,"2007-05",45,"1500 West Webster Avenue, Chicago, IL 60614, USA"," W WEBSTER AVE",15,-87.666455,41.9216,5,1,0,0,0,0,0,2,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,9
"2007-05-29",2007,6,"2007-05",94,"1700 West 95th Street, Chicago, IL 60643, USA"," W 95TH ST",17,-87.666014,41.720848,5,1,0,0,0,0,0,3,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,4
"2007-05-29",2007,3,"2007-05",49,"1100 West Chicago Avenue, Chicago, IL 60642, USA"," W CHICAGO",11,-87.655232,41.896282,5,1,0,0,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1,1
