"ID","Date","Month_Yr","Address","Block","Latitude","Longitude","Street","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","WnvPresent","Month","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","TS","TSRA","VCTS","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BR2","DZ2","FG2","HZ2","RA2","TS2","TSRA2","VCTS2","ParasiticIn.","Influenza.","Spray","Year","Season_code","TrapM","Snow_Fall","RA45","PT45_gt50","RA45_2"
1,2007-05-29,"2007-05","1100 Roosevelt Road, Chicago, IL 60608, USA",11,41.867108,-87.654224," W ROOSEVELT",0,0,1,2,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,48,0,NA,NA,NA
2,2007-05-29,"2007-05","1100 South Peoria Street, Chicago, IL 60608, USA",11,41.862292,-87.64886," S PEORIA ST",0,0,0,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,91,0,NA,NA,NA
3,2007-05-29,"2007-05","1100 West Chicago Avenue, Chicago, IL 60642, USA",11,41.896282,-87.655232," W CHICAGO",0,0,0,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,49,0,NA,NA,NA
4,2007-05-29,"2007-05","1500 North Long Avenue, Chicago, IL 60651, USA",15,41.907645,-87.760886," N LONG AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,153,0,NA,NA,NA
5,2007-05-29,"2007-05","1500 West Webster Avenue, Chicago, IL 60614, USA",15,41.9216,-87.666455," W WEBSTER AVE",0,0,0,2,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,45,0,NA,NA,NA
6,2007-05-29,"2007-05","1700 West 95th Street, Chicago, IL 60643, USA",17,41.720848,-87.666014," W 95TH ST",0,0,0,3,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,94,0,NA,NA,NA
7,2007-05-29,"2007-05","2100 North Stave Street, Chicago, IL 60647, USA",21,41.919343,-87.694259," N STAVE ST",0,0,1,0,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,50,0,NA,NA,NA
8,2007-05-29,"2007-05","2200 North Cannon Drive, Chicago, IL 60614, USA",22,41.921965,-87.632085," N CANNON DR",0,0,2,3,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,54,0,NA,NA,NA
9,2007-05-29,"2007-05","2200 West 113th Street, Chicago, IL 60643, USA",22,41.688324,-87.676709," W 113TH ST",0,0,1,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,86,0,NA,NA,NA
10,2007-05-29,"2007-05","2200 West 89th Street, Chicago, IL 60643, USA",22,41.731922,-87.677512," W 89TH ST",0,1,0,5,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,96,0,NA,NA,NA
11,2007-05-29,"2007-05","2500 West Grand Avenue, Chicago, IL 60654, USA",25,41.891118,-87.654491," W GRAND AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,46,0,NA,NA,NA
12,2007-05-29,"2007-05","4100 North Oak Park Avenue, Chicago, IL 60634, USA",41,41.95469,-87.800991," N OAK PARK AVE",0,0,1,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,2,0,NA,NA,NA
13,2007-05-29,"2007-05","6200 North Mandell Avenue, Chicago, IL 60646, USA",62,41.994991,-87.769279," N MANDELL AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,34,1,10,421,1917,2,70,69,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,59,35,1,13,2,75,67,5.8,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,7,0,NA,NA,NA
