"Date","ID.OB","Month_Yr","Address","Block","Latitude","Longitude","Street","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Month","ParasiticIn.","Influenza.","Spray","Year","TrapM","WnvPresentB","ID.y","ID.y","Station2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BCFG2","BR2","DZ2","FG2","FG.2","FU2","GR2","HZ2","RA2","SN2","SQ2","TS2","TSRA2","VCFG2","VCTS2","Tmax2.imp","Tavg2.imp","PrecipTotal2.imp","RA45.2","PT45_gt052.imp","Tmax2.i","RA45.2i","PT45_gt052.i","ID","Station","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed","BCFG","BR","DZ","FG","FG.","FU","HZ","MIFG","RA","SN","SQ","TS","TSRA","VCTS","RA45","PT45_gt05","RA45.imp","PT45_gt05.imp"
2007-05-29,1,"2007-05","1100 Roosevelt Road, Chicago, IL 60608, USA",11,41.867108,-87.654224," W ROOSEVELT",0,0,1,2,0,0,0,5,0.26,0.8,0,2007,48,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,2,"2007-05","1100 South Peoria Street, Chicago, IL 60608, USA",11,41.862292,-87.64886," S PEORIA ST",0,0,0,1,0,0,0,5,0.26,0.8,0,2007,91,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,3,"2007-05","1100 West Chicago Avenue, Chicago, IL 60642, USA",11,41.896282,-87.655232," W CHICAGO",0,0,0,1,0,0,0,5,0.26,0.8,0,2007,49,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,4,"2007-05","1500 North Long Avenue, Chicago, IL 60651, USA",15,41.907645,-87.760886," N LONG AVE",0,0,0,1,0,0,0,5,0.26,0.8,0,2007,153,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,5,"2007-05","1500 West Webster Avenue, Chicago, IL 60614, USA",15,41.9216,-87.666455," W WEBSTER AVE",0,0,0,2,0,0,0,5,0.26,0.8,0,2007,45,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,6,"2007-05","1700 West 95th Street, Chicago, IL 60643, USA",17,41.720848,-87.666014," W 95TH ST",0,0,0,3,0,0,0,5,0.26,0.8,0,2007,94,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,7,"2007-05","2100 North Stave Street, Chicago, IL 60647, USA",21,41.919343,-87.694259," N STAVE ST",0,0,1,0,0,0,0,5,0.26,0.8,0,2007,50,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,8,"2007-05","2200 North Cannon Drive, Chicago, IL 60614, USA",22,41.921965,-87.632085," N CANNON DR",0,0,2,3,0,0,0,5,0.26,0.8,0,2007,54,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,9,"2007-05","2200 West 113th Street, Chicago, IL 60643, USA",22,41.688324,-87.676709," W 113TH ST",0,0,1,1,0,0,0,5,0.26,0.8,0,2007,86,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
2007-05-29,10,"2007-05","2200 West 89th Street, Chicago, IL 60643, USA",22,41.731922,-87.677512," W 89TH ST",0,1,0,5,0,0,0,5,0.26,0.8,0,2007,96,0,29,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556,29,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,13.688537017711,0.942191669635632
