Date,ID,Station2,Tmax2,Tmin2,Tavg2,DewPoint2,WetBulb2,Heat2,Cool2,PrecipTotal2,StnPressure2,SeaLevel2,ResultSpeed2,ResultDir2,AvgSpeed2,BCFG2,BR2,DZ2,FG2,FG.2,FU2,GR2,HZ2,RA2,SN2,SQ2,TS2,TSRA2,VCFG2,VCTS2,Tmax2.imp,Tavg2.imp,PrecipTotal2.imp,RA45.2,PT45_gt052,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BCFG,BR,DZ,FG,FG.,FU,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCTS,RA45,PT45_gt05,year,Month,MoDay,Month_Day
01/05/2007,1,2,84,52,33,51,26,1,4,0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,33,0,NA,NA,1,83,50,32,32,51,25,1,3,448,1849,0,0,29.1,29.82,1.7,27,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,1,1/5
02/05/2007,2,2,60,43,17,42,16,6,1,0,29.44,30.08,13.3,2,13.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,60,17,0,NA,NA,1,59,42,16,11,42,16,7,1,447,1850,0,0,29.38,30.09,13,4,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,2,2/5
03/05/2007,3,2,67,48,23,40,19,28,1,0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,23,0,NA,NA,1,66,46,21,20,40,17,30,1,446,1851,0,0,29.39,30.12,11.7,7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,3,3/5
04/05/2007,4,2,78,51,NA,42,19,NA,NA,0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35.20733412,0,NA,NA,1,66,49,23,22,41,19,28,1,444,1852,0,0,29.31,30.05,10.4,8,10.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,4,4/5
05/05/2007,5,2,66,54,25,39,19,26,1,0,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,25,0,NA,NA,1,66,53,25,23,38,18,26,1,443,1853,0,0,29.4,30.1,11.7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,5,5/5
06/05/2007,6,2,68,52,25,30,15,26,1,0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,25,0,NA,NA,1,68,49,24,22,30,15,27,1,442,1855,0,0,29.57,30.29,14.4,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,6,6/5
07/05/2007,7,2,84,50,32,39,22,1,3,0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,32,0,NA,NA,1,83,47,30,28,41,23,1,1,441,1856,0,0,29.38,30.12,8.6,18,10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,7,7/5
08/05/2007,8,2,80,60,35,57,32,1,6,0,29.36,30.02,2.5,8,5.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,35,0,NA,NA,1,82,54,33,30,58,31,1,4,439,1857,0,0,29.29,30.03,2.7,11,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,8,8/5
09/05/2007,9,2,76,63,35,60,32,1,6,0.02,29.28,29.93,3.9,7,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,76,35,0.02,NA,NA,1,77,61,34,31,59,32,1,5,438,1858,0,0.13,29.21,29.94,3.9,9,6.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,2007,5,9,9/5
10/05/2007,10,2,83,59,36,52,30,1,7,0,29.26,29.91,2,9,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83,36,0,NA,NA,1,84,56,35,32,52,29,1,6,437,1859,0,0,29.2,29.92,0.7,17,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,10,10/5
11/05/2007,11,2,73,49,26,44,20,25,1,0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26,0,NA,NA,1,70,51,26,22,42,20,25,1,436,1860,0,0,29.33,30.04,11.3,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,11,11/5
