"Date","ID","StnPressure","Tmax2","ResultSpeed2","ResultDir2","PrecipTotal","PT45_gt05","PrecipTotal2.imp","PT45_gt052","Sunrise","Sunset","RA2","RA45.2","RA","RA45"
2007-05-01,1,29.1,84,2.7,25,0,NA,0,NA,448,1849,0,NA,0,NA
2007-05-02,2,29.38,60,13.3,2,0,NA,0,NA,447,1850,0,NA,0,NA
2007-05-03,3,29.39,67,12.9,6,0,NA,0,NA,446,1851,0,NA,0,NA
2007-05-04,4,29.31,78,10.1,7,0,NA,0,NA,444,1852,0,NA,1,NA
2007-05-05,5,29.4,66,11.2,7,0,NA,0,NA,443,1853,0,NA,0,NA
2007-05-06,6,29.57,68,13.8,10,0,NA,0,NA,442,1855,0,NA,0,NA
2007-05-07,7,29.38,84,8.5,17,0,NA,0,NA,441,1856,0,NA,1,NA
2007-05-08,8,29.29,80,2.5,8,0,NA,0,NA,439,1857,0,NA,0,NA
2007-05-09,9,29.21,76,3.9,7,0.13,NA,0.02,NA,438,1858,0,NA,0,NA
2007-05-10,10,29.2,83,2,9,0,NA,0,NA,437,1859,0,NA,0,NA
2007-05-11,11,29.33,73,11.7,36,0,NA,0,NA,436,1860,0,NA,0,NA
2007-05-12,12,29.49,65,12.7,1,0,NA,0,NA,435,1901,0,NA,0,NA
2007-05-13,13,29.49,69,6.4,11,0,NA,0,NA,434,1902,0,NA,0,NA
2007-05-14,14,29.23,90,14.1,21,0,NA,0,NA,433,1903,0,NA,0,NA
2007-05-15,15,29.13,82,8.1,25,0.38,NA,0.6,NA,432,1904,1,NA,1,NA
2007-05-16,16,29.33,64,8,36,0.14,NA,0.07,NA,431,1905,1,NA,1,NA
2007-05-17,17,29.55,61,11.7,1,0,NA,0,NA,430,1906,0,NA,0,NA
2007-05-18,18,29.53,70,3.4,22,0,NA,0,NA,429,1907,0,NA,0,NA
2007-05-19,19,29.34,80,11.1,23,0,NA,0,NA,428,1908,0,NA,0,NA
2007-05-20,20,29.38,69,8.6,3,0.07,NA,0.11,NA,427,1909,1,NA,1,NA
2007-05-21,21,29.33,79,6.3,10,0,NA,0,NA,426,1910,0,NA,0,NA
2007-05-22,22,29.34,87,10.1,16,0,NA,0,NA,425,1911,0,NA,0,NA
2007-05-23,23,29.39,89,10.9,18,0,NA,0,NA,425,1912,0,NA,0,NA
2007-05-24,24,29.41,88,13.8,20,0.02,NA,0,NA,424,1913,1,NA,1,NA
2007-05-25,25,29.51,66,4.5,5,0,NA,0.09,NA,423,1914,1,NA,0,NA
2007-05-26,26,29.36,70,2.5,15,1.01,NA,0.28,NA,422,1915,1,NA,1,NA
2007-05-27,27,29.34,75,8.2,24,0.04,NA,0.08,NA,422,1916,1,NA,1,NA
2007-05-28,28,29.43,76,4.7,8,0,NA,0,NA,421,1916,0,NA,1,NA
2007-05-29,29,29.39,88,5.8,16,0,NA,0,NA,421,1917,0,NA,0,NA
2007-05-30,30,29.31,89,9.7,17,0,NA,0,NA,420,1918,0,NA,0,NA
2007-05-31,31,29.28,80,8.9,18,0.01,NA,0.53,NA,420,1919,1,NA,1,NA
2007-06-01,32,29.19,86,4.7,16,0.19,NA,0.21,NA,419,1920,0,NA,0,NA
2007-06-02,33,29.03,81,7.5,21,0.04,NA,0,NA,419,1920,1,NA,1,NA
2007-06-03,34,28.82,77,4.9,24,0.01,NA,0.32,NA,418,1921,1,NA,1,NA
2007-06-04,35,28.82,72,7.9,30,0.39,NA,0.31,NA,418,1922,1,NA,1,NA
2007-06-05,36,29.1,63,6.2,3,0.42,NA,0.27,NA,417,1923,1,NA,1,NA
2007-06-06,37,29.07,73,9.6,15,0.01,NA,0,NA,417,1923,1,NA,1,NA
2007-06-07,38,28.84,92,20.3,19,0,NA,0,NA,417,1924,0,NA,0,NA
2007-06-08,39,29.18,81,9.3,26,0,NA,0,NA,417,1925,0,NA,0,NA
2007-06-09,40,29.36,79,2.4,19,0,NA,0,NA,416,1925,0,NA,0,NA
2007-06-10,41,29.34,81,4.6,16,0,NA,0,NA,416,1926,0,NA,0,NA
2007-06-11,42,29.41,85,6.6,9,0,NA,0,NA,416,1926,0,NA,0,NA
2007-06-12,43,29.44,82,9.4,5,0,NA,0,NA,416,1927,0,NA,0,NA
2007-06-13,44,29.36,86,7,5,0,NA,0,NA,416,1927,0,NA,0,NA
2007-06-14,45,29.3,89,5.9,7,0,1,0,1,416,1928,0,13,0,15
2007-06-15,46,29.28,89,3.8,9,0,1,0,1,416,1928,0,13,0,15
2007-06-16,47,29.26,92,2.1,22,0,1,0,1,416,1929,0,13,1,16
2007-06-17,48,29.23,91,4,11,0,1,0.16,1,416,1929,0,13,0,16
2007-06-18,49,29.12,89,12.2,20,0.28,1,0.02,1,416,1929,1,14,1,16
2007-06-19,50,29.26,81,10.1,29,0.58,1,0.93,1,416,1930,1,15,1,17
2007-06-20,51,29.39,85,5.9,28,0,1,0,1,416,1930,0,15,0,17
2007-06-21,52,29.36,80,3.7,2,0.01,1,0,1,416,1930,1,16,1,17
2007-06-22,53,29.33,75,6.5,7,0,1,0,1,417,1931,1,17,1,18
2007-06-23,54,29.23,68,7.3,11,0.05,1,0.34,1,417,1931,1,18,1,19
2007-06-24,55,29.26,75,5.6,10,0,1,0,1,417,1931,0,18,0,19
2007-06-25,56,29.38,86,4,12,0,1,0,1,417,1931,0,18,0,19
2007-06-26,57,29.39,91,7.3,21,0.16,1,0,1,418,1931,0,18,0,19
2007-06-27,58,29.29,89,7.9,24,0.15,1,0.35,1,418,1931,1,19,0,19
2007-06-28,59,29.41,73,12.2,2,0,1,0.95046952118854,1,419,1931,0,19,0,19
2007-06-29,60,29.41,71,7.4,2,0,1,0.0640497532250698,1,419,1931,0,18,0,18
2007-06-30,61,29.41,77,5.1,4,0,1,0,1,419,1931,0,17,0,17
2007-07-01,62,29.51,76,9.5,4,0,1,0,1,420,1931,0,17,0,17
2007-07-02,63,29.49,77,7.4,12,0,1,0,1,420,1931,0,17,0,17
2007-07-03,64,29.31,83,6.4,21,0.4,1,0.09,1,421,1931,1,18,1,18
2007-07-04,65,29.18,84,3.1,25,0.16,1,0.66,1,422,1930,1,18,0,17
2007-07-05,66,29.24,88,4.3,33,0,1,0,1,422,1930,0,18,0,17
2007-07-06,67,29.32,84,3.3,7,0,1,0,1,423,1930,0,18,0,17
2007-07-07,68,29.18,88,7.4,23,0,1,0,1,423,1930,0,18,0,17
2007-07-08,69,29.05,93,12.6,23,0,1,0,1,424,1929,0,17,0,16
2007-07-09,70,29.11,93,4.8,23,0.3,1,0.24,1,425,1929,1,17,1,17
2007-07-10,71,29.06,89,8.2,23,0.43,1,0.08,1,425,1929,0,16,0,16
2007-07-11,72,29.23,77,9.1,30,0,1,0,1,426,1928,0,15,0,15
2007-07-12,73,29.22,80,10,28,0,1,0,1,427,1928,0,15,0,14
2007-07-13,74,29.26,74,2,7,0,1,0,1,428,1927,0,15,0,14
2007-07-14,75,29.08,85,8.4,25,0,1,0,1,428,1927,0,15,0,14
2007-07-15,76,29.19,80,1.2,9,0,1,0,1,429,1926,0,14,0,13
2007-07-16,77,29.25,82,5.6,23,0.39,1,0.07,1,430,1925,1,15,1,14
2007-07-17,78,29.18,83,6.3,23,0.11,1,0.11,1,431,1925,1,15,1,14
2007-07-18,79,29.11,85,10.3,24,1.55,1,0.92,1,432,1924,1,15,1,14
2007-07-19,80,29.21,82,7.7,36,0.16,1,0.01,1,433,1923,0,14,0,13
2007-07-20,81,29.44,74,11.3,4,0,1,0,1,433,1923,0,13,0,12
2007-07-21,82,29.51,75,5.8,4,0,1,0,1,434,1922,0,12,0,11
2007-07-22,83,29.49,81,1.9,18,0,1,0,1,435,1921,0,12,0,11
2007-07-23,84,29.37,82,2.9,12,0,1,0,1,436,1920,0,12,0,11
2007-07-24,85,29.32,82,1.1,21,0,1,0,1,437,1919,0,12,0,11
2007-07-25,86,29.29,83,6.4,23,0,1,0,1,438,1918,0,12,0,11
