"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed","BCFG","BR","DZ","FG","FG.","FU","HZ","MIFG","RA","SN","SQ","TS","TSRA","VCTS","RA45","PT45_gt05"
1,2007-05-01,83,50,32,32,51,25,1,3,448,1849,0,0,29.1,29.82,1.7,27,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-02,59,42,16,11,42,16,7,1,447,1850,0,0,29.38,30.09,13,4,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-03,66,46,21,20,40,17,30,1,446,1851,0,0,29.39,30.12,11.7,7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-04,66,49,23,22,41,19,28,1,444,1852,0,0,29.31,30.05,10.4,8,10.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-05,66,53,25,23,38,18,26,1,443,1853,0,0,29.4,30.1,11.7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-06,68,49,24,22,30,15,27,1,442,1855,0,0,29.57,30.29,14.4,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-07,83,47,30,28,41,23,1,1,441,1856,0,0,29.38,30.12,8.6,18,10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-08,82,54,33,30,58,31,1,4,439,1857,0,0,29.29,30.03,2.7,11,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-09,77,61,34,31,59,32,1,5,438,1858,0,0.13,29.21,29.94,3.9,9,6.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
1,2007-05-10,84,56,35,32,52,29,1,6,437,1859,0,0,29.2,29.92,0.7,17,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
