"Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","CodeSum2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2"
"2",2007-05-01,84,52,33,51,26,1,4," ",0,"29.18","29.82",2.7,25,"9.6"
"2",2007-05-02,60,43,17,42,16,6,1,"BR HZ",0,"29.44","30.08",13.3,2,"13.4"
"2",2007-05-03,67,48,23,40,19,28,1,"HZ",0,"29.46","30.12",12.9,6,"13.2"
"2",2007-05-04,78,51,NA,42,19,NA,NA," ",0,"29.36","30.04",10.1,7,"10.4"
"2",2007-05-05,66,54,25,39,19,26,1," ",0,"29.46","30.09",11.2,7,"11.5"
"2",2007-05-06,68,52,25,30,15,26,1," ",0,"29.62","30.28",13.8,10,"14.5"
"2",2007-05-07,84,50,32,39,22,1,3," ",0,"29.44","30.12",8.5,17,"9.9"
"2",2007-05-08,80,60,35,57,32,1,6,"HZ",0,"29.36","30.02",2.5,8,"5.4"
"2",2007-05-09,76,63,35,60,32,1,6,"BR HZ",0.02,"29.28","29.93",3.9,7,"5.9"
"2",2007-05-10,83,59,36,52,30,1,7,"BR HZ",0,"29.26","29.91",2,9,"3.9"
"2",2007-05-11,73,49,26,44,20,25,1," ",0,"29.39","30.03",11.7,36,"12.8"
"2",2007-05-12,65,47,21,37,15,30,1," ",0,"29.54","30.19",12.7,1,"13.0"
"2",2007-05-13,69,44,22,32,15,29,1," ",0,"29.55","30.24",6.4,11,"7.6"
"2",2007-05-14,90,54,37,45,27,1,8," ",0,"29.31","29.98",14.1,21,"14.6"
"2",2007-05-15,82,56,34,56,30,1,5,"TSRA RA BR",0.6,"29.19","29.83",8.1,25,"10.8"
"2",2007-05-16,64,45,20,42,16,3,1,"RA BR",0.07,"29.39","30.03",8,36,"11.8"
"2",2007-05-17,61,44,18,32,12,5,1," ",0,"29.62","30.27",11.7,1,"12.2"
"2",2007-05-18,70,43,22,31,16,29,1," ",0,"29.60","30.26",3.4,22,"5.5"
"2",2007-05-19,80,56,33,37,22,1,4," ",0,"29.41","30.08",11.1,23,"11.4"
"2",2007-05-20,69,44,22,41,14,29,1,"TSRA RA",0.11,"29.44","30.11",8.6,3,"9.7"
"2",2007-05-21,79,46,28,50,26,13,1," ",0,"29.39","30.05",6.3,10,"7.8"
"2",2007-05-22,87,60,39,44,27,1,10," ",0,"29.41","30.05",10.1,16,"10.6"
"2",2007-05-23,89,66,43,48,30,1,14," ",0,"29.47","30.10",10.9,18,"11.2"
"2",2007-05-24,88,66,42,53,32,1,13,"RA HZ",0,"29.47","30.10",13.8,20,"15.2"
"2",2007-05-25,66,57,27,46,22,24,1,"RA BR",0.09,"29.57","30.23",4.5,5,"8.2"
"2",2007-05-26,70,50,25,55,26,26,1,"TSRA RA BR",0.28,"29.42","30.10",2.5,15,"7.8"
