"ID","Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BCFG2","BR2","DZ2","FG2","FG.2","FU2","GR2","HZ2","RA2","SN2","SQ2","TS2","TSRA2","VCFG2","VCTS2","Tmax2.imp","Tavg2.imp","PrecipTotal2.imp"
1,2,2007-05-01,84,52,33,51,26,1,4,0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,33,0
2,2,2007-05-02,60,43,17,42,16,6,1,0,29.44,30.08,13.3,2,13.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,60,17,0
3,2,2007-05-03,67,48,23,40,19,28,1,0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,23,0
4,2,2007-05-04,78,51,NA,42,19,NA,NA,0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35.2073341178999,0
5,2,2007-05-05,66,54,25,39,19,26,1,0,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,25,0
6,2,2007-05-06,68,52,25,30,15,26,1,0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,25,0
7,2,2007-05-07,84,50,32,39,22,1,3,0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,32,0
8,2,2007-05-08,80,60,35,57,32,1,6,0,29.36,30.02,2.5,8,5.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,35,0
9,2,2007-05-09,76,63,35,60,32,1,6,0.02,29.28,29.93,3.9,7,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,76,35,0.02
10,2,2007-05-10,83,59,36,52,30,1,7,0,29.26,29.91,2,9,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83,36,0
11,2,2007-05-11,73,49,26,44,20,25,1,0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26,0
12,2,2007-05-12,65,47,21,37,15,30,1,0,29.54,30.19,12.7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,0
