"ID","Tmax2.i","RA45.2i","PT45_gt052.i"
1,84,19.7802907037933,0.989829838121801
2,60,13.5022475249722,0.98890891168598
3,67,20.6026695154547,0.933562272032235
4,78,11.9623684109659,1.02154686473701
5,66,17.4639089706539,1.00432783726648
6,68,19.9226031391223,0.971691273359528
7,84,17.1507246990379,0.985081230502542
8,80,13.5522159317543,0.97201811479036
9,76,7.42567435314089,0.968210846903225
10,83,15.1565044607863,1.01092731922256
11,73,11.1356598506847,0.94392496161682
12,65,21.2277453173714,0.961265192225511
13,69,12.7411385085828,1.02267550050839
14,90,11.5823489003068,0.998941802102826
15,82,16.331645141484,0.978547410044151
16,64,18.2844415992844,0.958623678551112
17,61,12.9744033099568,0.967574169029362
18,70,17.9049952525603,0.947586859014726
19,80,16.1960755153656,1.00941047890253
20,69,12.0596690532675,1.00734968533078
21,79,19.6421357184059,0.967261113164622
22,87,15.0884595608698,1.01299200604878
23,89,11.8766619110639,0.991801783558012
24,88,18.26706615904,1.02940973162541
25,66,14.8121753653574,0.962454196356388
26,70,17.0349939995612,1.00553643725899
27,75,13.1814797153755,1.00040738072273
28,76,10.5087604524961,0.964335373069742
29,88,12.1767435566769,0.984552069373556
30,89,20.9563230969065,1.02557797737626
31,80,12.9791096154841,1.01660362899663
32,86,11.741428325931,1.01416855088142
33,81,13.0189675477105,1.00118056590689
34,77,16.5185630216151,0.989385883039051
35,72,17.049490562553,1.0183814217629
36,63,19.8156412427196,0.947757549817971
37,73,13.9355481734418,0.957012261844418
38,92,18.2464441258346,1.01232192907421
39,81,14.0944239286978,0.997436854407457
40,79,19.5174509511974,0.971175772522301
41,81,9.59626370608023,0.961119739522972
42,85,16.0783672092891,1.01396295796088
43,82,12.636769300857,1.01462280733073
44,86,16.217696172675,1.01903157252177
45,89,13,1
46,89,13,1
47,92,13,1
48,91,13,1
49,89,14,1
50,81,15,1
51,85,15,1
52,80,16,1
53,75,17,1
54,68,18,1
55,75,18,1
56,86,18,1
57,91,18,1
58,89,19,1
59,73,19,1
60,71,18,1
61,77,17,1
62,76,17,1
63,77,17,1
64,83,18,1
65,84,18,1
66,88,18,1
67,84,18,1
68,88,18,1
69,93,17,1
70,93,17,1
71,89,16,1
72,77,15,1
73,80,15,1
74,74,15,1
75,85,15,1
76,80,14,1
77,82,15,1
78,83,15,1
79,85,15,1
80,82,14,1
81,74,13,1
82,75,12,1
83,81,12,1
84,82,12,1
85,82,12,1
86,83,12,1
87,84,12,1
88,83,13,1
89,80,13,1
90,85,13,1
91,86,13,1
92,89,13,1
93,91,13,1
94,91,12,1
95,88,11,1
96,81,12,1
97,88,12,1
98,85,11,1
99,92,10,1
100,87,11,1
101,85,11,1
102,86,11,1
103,88,10,1
104,87,10,1
105,80,10,1
106,84,11,1
107,81,12,1
108,77,12,1
109,80,11,1
110,69,11,1
111,69,12,1
112,76,13,1
113,85,13,1
114,90,14,1
115,89,13,1
116,81,14,1
117,76,15,1
118,78,15,1
119,79,15,1
120,90,15,1
121,86,15,1
122,75,14,1
123,76,13,1
124,79,12,1
125,84,12,1
126,88,12,1
127,90,12,1
128,91,12,1
129,84,12,1
130,84,13,1
131,78,13,1
132,79,13,1
133,73,13,1
134,71,13,1
135,66,13,1
136,79,13,1
137,67,13,1
138,62,13,1
139,72,13,1
140,80,13,1
141,89,12,1
142,84,11,1
143,76,11,1
144,90,11,1
145,72,10,1
146,83,10,1
147,91,10,1
148,83,10,1
149,68,11,1
150,74,12,1
151,73,11,1
152,82,10,1
153,84,10,1
154,68,11,1
155,80,11,1
156,74,10,1
157,83,9,1
158,85,10,1
159,88,9,1
160,88,9,1
161,88,8,1
162,77,7,1
163,53,7,1
164,56,7,1
165,57,7,1
166,59,7,1
167,63,8,1
168,77,9,1
169,68,10,1
170,74,11,1
171,79,12,1
172,61,13,1
173,74,13,1
174,79,13,1
175,66,13,0
176,53,14,0
177,53,14,0
178,57,14,0
179,66,15,0
180,57,16,0
181,56,16,0
182,60,16,0
183,66,16,0
184,63,16,0
185,73,16,0
186,74,17,1
187,56,18,1
188,66,18,1
189,74,18,1
190,82,18,1
191,71,19,1
192,59,19,1
193,58,19,1
194,61,18,1
195,60,18,1
196,53,18,1
197,73,19,1
198,61,20,1
199,57,19,1
200,72,18,1
201,73,19,1
202,55,19,1
203,59,19,1
204,64,19,1
205,65,19,1
206,56,19,1
207,59,19,1
208,68,19,1
209,78,19,1
210,84,20,1
211,53,21,1
212,61,20,1
213,68,20,1
214,77,20,1
215,79,19,1
216,71,18,1
217,85,17,1
218,74,18,1
219,78,18,1
220,88,17,1
221,86,17,1
222,84,17,1
223,87,17,1
224,74,17,1
225,80,17,1
226,86,17,1
227,91,17,1
228,82,18,1
229,84,18,1
230,82,19,1
231,74,18,1
232,76,17,1
233,75,17,1
234,80,17,1
235,83,18,1
236,83,18,1
237,81,19,1
238,76,19,1
239,82,19,1
240,79,19,1
241,87,19,1
242,85,19,1
243,84,19,1
244,77,20,1
245,81,20,1
246,84,19,1
247,89,20,1
248,71,19,1
249,75,19,1
250,79,19,1
251,88,19,1
252,87,19,1
253,86,20,1
254,85,20,1
255,84,20,1
256,89,20,1
257,83,21,1
258,79,20,1
259,84,19,1
260,91,19,1
261,91,19,1
262,90,19,1
263,91,19,1
264,80,20,1
265,86,21,1
266,84,21,1
267,75,22,1
268,81,21,1
269,82,20,1
270,84,19,1
271,85,19,1
272,83,19,1
273,84,18,1
274,89,19,1
275,90,18,1
276,89,19,1
277,89,19,1
278,80,19,1
279,85,19,1
280,88,19,1
281,88,18,1
282,84,17,1
283,81,17,1
284,78,17,1
285,78,17,1
286,74,17,1
287,76,16,1
288,77,15,1
289,77,14,1
290,78,14,1
291,78,14,1
292,82,13,1
293,85,13,1
294,85,13,1
295,84,13,1
296,81,13,1
297,82,14,1
298,84,14,1
299,90,14,1
300,78,13,1
301,74,12,1
302,75,11,1
303,82,11,1
304,81,12,1
305,84,12,1
306,87,12,1
307,89,12,1
308,89,11,1
309,95,11,1
310,77,10,1
311,68,10,1
312,68,10,1
313,74,11,1
314,74,11,1
315,70,12,1
316,68,12,1
317,72,12,1
318,79,12,1
319,73,12,1
320,77,13,1
321,72,13,1
322,65,13,1
323,71,13,1
324,83,13,1
325,74,12,1
326,79,12,1
327,82,12,1
328,80,12,1
329,82,12,1
330,83,11,1
331,82,11,1
332,78,11,1
