"ID","Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BCFG2","BR2","DZ2","FG2","FG.2","FU2","GR2","HZ2","RA2","SN2","SQ2","TS2","TSRA2","VCFG2","VCTS2","Tmax2.imp","Tavg2.imp","PrecipTotal2.imp","RA45.2","PT45_gt052.imp","Tmax2.i","RA45.2i","PT45_gt052.i"
1,2,"2007-05-01",84,52,33,51,26,1,4,0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,33,0,NA,NA,84,19.7802907037933,0.989829838121801
2,2,"2007-05-02",60,43,17,42,16,6,1,0,29.44,30.08,13.3,2,13.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,60,17,0,NA,NA,60,13.5022475249722,0.98890891168598
3,2,"2007-05-03",67,48,23,40,19,28,1,0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,23,0,NA,NA,67,20.6026695154547,0.933562272032235
4,2,"2007-05-04",78,51,NA,42,19,NA,NA,0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35.2073341178999,0,NA,NA,78,11.9623684109659,1.02154686473701
5,2,"2007-05-05",66,54,25,39,19,26,1,0,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,25,0,NA,NA,66,17.4639089706539,1.00432783726648
6,2,"2007-05-06",68,52,25,30,15,26,1,0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,25,0,NA,NA,68,19.9226031391223,0.971691273359528
7,2,"2007-05-07",84,50,32,39,22,1,3,0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,32,0,NA,NA,84,17.1507246990379,0.985081230502542
8,2,"2007-05-08",80,60,35,57,32,1,6,0,29.36,30.02,2.5,8,5.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,35,0,NA,NA,80,13.5522159317543,0.97201811479036
9,2,"2007-05-09",76,63,35,60,32,1,6,0.02,29.28,29.93,3.9,7,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,76,35,0.02,NA,NA,76,7.42567435314089,0.968210846903225
10,2,"2007-05-10",83,59,36,52,30,1,7,0,29.26,29.91,2,9,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83,36,0,NA,NA,83,15.1565044607863,1.01092731922256
11,2,"2007-05-11",73,49,26,44,20,25,1,0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26,0,NA,NA,73,11.1356598506847,0.94392496161682
12,2,"2007-05-12",65,47,21,37,15,30,1,0,29.54,30.19,12.7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,0,NA,NA,65,21.2277453173714,0.961265192225511
13,2,"2007-05-13",69,44,22,32,15,29,1,0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,0,NA,NA,69,12.7411385085828,1.02267550050839
14,2,"2007-05-14",90,54,37,45,27,1,8,0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,37,0,NA,NA,90,11.5823489003068,0.998941802102826
15,2,"2007-05-15",82,56,34,56,30,1,5,0.6,29.19,29.83,8.1,25,10.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,82,34,0.6,NA,NA,82,16.331645141484,0.978547410044151
16,2,"2007-05-16",64,45,20,42,16,3,1,0.07,29.39,30.03,8,36,11.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,64,20,0.07,NA,NA,64,18.2844415992844,0.958623678551112
17,2,"2007-05-17",61,44,18,32,12,5,1,0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,0,NA,NA,61,12.9744033099568,0.967574169029362
18,2,"2007-05-18",70,43,22,31,16,29,1,0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,0,NA,NA,70,17.9049952525603,0.947586859014726
19,2,"2007-05-19",80,56,33,37,22,1,4,0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,33,0,NA,NA,80,16.1960755153656,1.00941047890253
20,2,"2007-05-20",69,44,22,41,14,29,1,0.11,29.44,30.11,8.6,3,9.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,69,22,0.11,NA,NA,69,12.0596690532675,1.00734968533078
21,2,"2007-05-21",79,46,28,50,26,13,1,0,29.39,30.05,6.3,10,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,28,0,NA,NA,79,19.6421357184059,0.967261113164622
22,2,"2007-05-22",87,60,39,44,27,1,10,0,29.41,30.05,10.1,16,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,39,0,NA,NA,87,15.0884595608698,1.01299200604878
23,2,"2007-05-23",89,66,43,48,30,1,14,0,29.47,30.1,10.9,18,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0,NA,NA,89,11.8766619110639,0.991801783558012
24,2,"2007-05-24",88,66,42,53,32,1,13,0,29.47,30.1,13.8,20,15.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,88,42,0,NA,NA,88,18.26706615904,1.02940973162541
25,2,"2007-05-25",66,57,27,46,22,24,1,0.09,29.57,30.23,4.5,5,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,66,27,0.09,NA,NA,66,14.8121753653574,0.962454196356388
26,2,"2007-05-26",70,50,25,55,26,26,1,0.28,29.42,30.1,2.5,15,7.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,70,25,0.28,NA,NA,70,17.0349939995612,1.00553643725899
27,2,"2007-05-27",75,59,32,49,26,1,3,0.08,29.41,30.05,8.2,24,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75,32,0.08,NA,NA,75,13.1814797153755,1.00040738072273
28,2,"2007-05-28",76,54,30,49,26,1,1,0,29.49,30.14,4.7,8,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,30,0,NA,NA,76,10.5087604524961,0.964335373069742
29,2,"2007-05-29",88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,88,12.1767435566769,0.984552069373556
30,2,"2007-05-30",89,70,45,57,35,1,16,0,29.38,30.03,9.7,17,10.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,45,0,NA,NA,89,20.9563230969065,1.02557797737626
31,2,"2007-05-31",80,68,39,61,35,1,10,0.53,29.34,29.99,8.9,18,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,80,39,0.53,NA,NA,80,12.9791096154841,1.01660362899663
32,2,"2007-06-01",86,67,42,63,36,1,13,0.21,29.25,29.9,4.7,16,5.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,86,42,0.21,NA,NA,86,11.741428325931,1.01416855088142
33,2,"2007-06-02",81,68,40,62,36,1,11,0,29.1,29.76,7.5,21,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,40,0,NA,NA,81,13.0189675477105,1.00118056590689
34,2,"2007-06-03",77,64,36,60,33,1,7,0.32,28.87,29.54,4.9,24,7.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,77,36,0.32,NA,NA,77,16.5185630216151,0.989385883039051
35,2,"2007-06-04",72,56,29,57,29,2,1,0.31,28.88,29.51,7.9,30,10.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72,29,0.31,NA,NA,72,17.049490562553,1.0183814217629
36,2,"2007-06-05",63,51,22,47,21,29,1,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63,22,0.27,NA,NA,63,19.8156412427196,0.947757549817971
37,2,"2007-06-06",73,48,26,47,24,25,1,0,29.13,29.82,9.6,15,10.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,26,0,NA,NA,73,13.9355481734418,0.957012261844418
38,2,"2007-06-07",92,71,47,61,37,1,18,0,28.91,29.55,20.3,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,47,0,NA,NA,92,18.2464441258346,1.01232192907421
39,2,"2007-06-08",81,63,37,54,31,1,8,0,29.24,29.83,9.3,26,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,37,0,NA,NA,81,14.0944239286978,0.997436854407457
40,2,"2007-06-09",79,57,33,49,27,1,4,0,29.42,30.05,2.4,19,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,33,0,NA,NA,79,19.5174509511974,0.971175772522301
41,2,"2007-06-10",81,61,36,50,29,1,7,0,29.39,30.04,4.6,16,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,36,0,NA,NA,81,9.59626370608023,0.961119739522972
