,WnvPresentB
1545,0
3014,0
3566,0
2198,0
3351,0
1612,0
4206,0
3035,0
2256,0
1450,0
4068,0
482,0
945,0
520,0
1557,0
1081,0
3271,0
2510,0
2918,0
1694,0
2870,0
611,0
3691,0
3273,0
2810,0
177,0
629,1
1972,1
2405,0
1360,0
2015,0
664,0
4427,0
1128,0
3777,0
3742,0
3329,0
602,0
1194,0
248,0
3369,0
3130,0
4280,1
4351,1
271,0
3038,0
2717,0
2489,0
1050,0
3350,0
1655,0
2986,0
275,0
22,0
131,0
4117,1
2116,0
4413,0
875,0
99,0
1347,0
1559,0
2384,0
4370,1
52,0
4115,1
4043,0
1346,0
4057,1
4330,0
3056,0
527,0
2171,0
1708,0
1757,0
860,0
467,0
3103,0
2879,0
4313,1
4469,0
1999,0
1597,0
3837,0
2584,0
2768,0
653,1
2897,0
4266,0
1797,0
4143,0
1534,0
2844,0
4353,0
1341,0
4348,1
1654,0
4099,0
3731,0
1762,0
1577,0
442,0
3437,0
3772,0
2633,0
3540,0
552,0
963,1
4412,0
2522,0
1401,0
2745,0
3265,0
4119,1
1528,0
683,0
3388,0
2454,0
4329,0
81,0
4006,0
809,0
2555,0
665,1
1804,0
371,0
3524,0
4474,0
1688,0
2396,0
1110,0
2139,0
2310,0
2322,0
1679,0
2075,0
644,1
3374,0
4380,1
748,1
870,1
2704,0
3034,0
2606,0
2356,0
1124,0
2892,0
2866,0
987,0
2988,1
2538,0
1861,0
4409,0
2504,0
1003,0
2920,0
2005,0
4134,0
206,0
2945,0
3833,0
4019,0
4527,0
4170,0
4567,0
3243,1
769,0
380,0
2603,0
1048,0
3666,0
4594,0
714,0
740,0
2180,0
549,0
389,0
952,1
1073,0
3767,0
2382,0
4162,1
3092,0
127,0
1890,0
759,1
761,1
2130,0
2019,0
3746,0
4589,0
2316,0
4400,0
2377,0
2032,0
2860,1
3967,0
2224,0
3992,0
2690,0
4169,0
4534,0
420,0
113,0
236,0
1106,0
802,0
4361,0
2701,0
1896,0
2424,0
2143,1
1332,0
1706,0
2681,0
3552,0
1245,0
3761,0
3662,0
3172,0
4339,0
2527,0
1815,0
2917,0
933,0
4479,0
3584,0
4486,0
3485,0
618,0
282,0
3026,0
2908,0
1371,0
4601,0
1227,0
1498,0
1924,0
2861,0
4581,0
3000,0
157,0
1134,0
522,0
3932,0
4367,0
1482,0
3506,0
3382,0
3318,0
2395,0
563,0
1355,0
558,0
2694,0
4254,0
639,1
4318,0
3576,0
3785,0
1204,0
2654,0
1609,0
4440,0
1892,0
273,0
1491,0
3904,0
2612,0
489,0
3652,0
4569,1
3442,0
1976,0
92,0
2965,0
2106,0
2343,0
2847,0
3714,0
3614,0
3612,0
1041,0
272,0
1735,0
2132,0
539,0
3372,0
265,0
1720,0
1029,1
1746,0
1877,0
2613,0
2819,0
2706,0
2041,0
2856,0
2063,0
3688,0
3983,0
4450,0
2858,0
1188,0
1667,0
1656,0
1,0
2699,0
652,0
3423,0
1387,0
4033,0
2949,0
765,1
1312,0
4366,0
3563,0
3367,0
246,0
4566,0
3051,0
64,0
3439,0
954,1
1365,0
730,0
3981,1
4031,1
3371,0
926,1
2842,0
2478,0
3344,0
167,0
1373,0
2445,0
1582,0
2158,0
3897,0
2361,0
4522,0
1353,0
3924,0
260,0
742,0
766,0
1934,0
3325,0
1178,0
724,0
723,0
2305,0
1326,0
650,1
1117,0
2505,0
1496,0
2923,0
2672,0
3881,0
1137,0
391,0
2269,0
1801,0
4415,0
1878,0
4211,0
3234,0
253,0
2660,0
268,0
3544,0
2255,0
2465,0
2619,0
4535,0
4536,1
2777,0
1228,0
37,0
1033,0
3841,0
4429,0
3644,0
1590,0
529,0
3675,0
2267,1
2557,0
3303,0
394,0
130,0
3542,0
642,0
311,0
1648,0
1400,0
4207,0
4394,0
3999,0
2970,0
1359,0
3826,0
1207,0
1555,0
1540,0
2542,0
556,0
1434,0
1234,0
812,1
3145,0
577,0
1928,0
1224,0
3500,0
1432,0
45,0
31,0
3469,0
2085,0
1599,0
2067,0
2688,0
4411,0
2973,0
3635,0
701,1
1335,0
4180,0
4110,1
3136,0
2896,1
3280,0
2629,0
3059,0
2737,0
172,0
1000,1
3931,0
3292,1
3587,0
3198,0
2385,0
1082,0
2547,0
521,0
1125,0
2937,0
2650,0
4232,1
1216,0
767,0
3907,0
3299,0
1090,1
3195,0
514,0
2156,0
1979,0
1981,0
3443,0
3044,0
3556,0
947,0
3926,0
2182,1
2000,1
3076,1
3978,0
965,0
1737,0
4060,1
1215,0
4105,0
1147,0
4130,0
1198,0
435,0
3818,0
2790,0
2756,0
528,0
4012,0
1034,1
670,0
188,0
2855,0
3143,0
2338,0
3758,0
838,0
2662,0
17,0
3956,0
1611,0
3856,1
441,0
3982,0
3449,0
1750,0
453,0
36,0
4059,1
2916,0
1470,0
1348,0
579,0
2993,0
3732,0
1035,1
1862,0
3081,0
491,0
3098,0
4048,0
4148,0
2301,0
3478,0
2663,0
2283,0
3272,0
927,0
1769,0
3996,0
2575,0
296,0
3670,0
3755,0
873,0
1505,0
2066,0
2321,0
158,0
2227,0
584,0
2312,0
578,0
657,0
1850,0
2512,0
999,0
3514,0
2079,0
280,0
1725,0
3008,0
523,0
2183,0
1171,0
3197,0
4558,0
165,0
1454,0
869,1
659,0
635,0
1869,0
443,0
1056,0
3045,1
1219,0
747,0
1070,0
3780,1
1504,0
2202,0
1875,0
2904,0
1893,0
2449,0
4239,0
3491,0
3763,0
3132,0
2120,0
2716,0
3242,0
3390,0
1538,0
103,0
304,0
3032,0
4069,0
373,0
1384,0
4554,0
3418,0
2541,0
975,0
4517,0
751,0
4362,1
405,0
2469,0
3710,0
2653,0
4026,0
1929,0
2273,0
1184,0
533,1
3986,0
4509,0
2486,0
3186,0
1447,0
692,0
2590,0
1162,0
903,1
3703,0
2372,0
2442,0
1100,0
2974,0
4185,1
4388,0
1767,0
97,0
632,0
575,0
503,0
3330,0
3520,0
3187,1
2359,0
2276,0
3355,0
4605,0
1547,0
2034,0
3353,0
1832,0
402,1
3599,0
3117,0
2476,0
1075,0
1858,0
3138,0
1669,0
2563,0
354,0
413,0
4109,0
3935,0
3936,0
3562,0
1773,0
3360,1
3022,0
2668,0
135,0
3861,0
203,0
1921,0
3222,0
1065,0
950,1
2024,0
623,0
1135,0
2568,0
267,0
191,0
462,0
718,0
1681,0
4437,1
173,0
2332,0
3844,0
4015,0
681,0
1930,0
2968,0
3162,0
4590,0
1854,0
356,0
781,0
498,0
3817,0
2022,0
2226,0
228,0
3025,0
153,0
1909,0
3679,0
3952,0
3564,0
4559,0
640,1
2073,0
4220,1
2827,0
